scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
15698__len__14722	-	2016__len__44036	-	-756.885657701	0.873307098564	0.4	5
13956__len__12759	-	19828__len__16608	-	914.43161946	0.550603345277	0.5	12
13956__len__12759	-	2801__len__20191	+	-4703.32293956	0.00249613376315	0.5	6
13956__len__12759	-	2963__len__21462	-	3760.66108582	0.00452932811589	0.333333333333	6
13956__len__12759	-	14690__len__19771	-	1313.7493892	0.935563705661	0.111111111111	9
13956__len__12759	-	50639__len__10273	+	-2109.32293956	0.925166831817	0.571428571429	7
13956__len__12759	-	23672__len__16486	+	-5107.32293956	0.0619834403431	0.230769230769	13
13956__len__12759	-	7578__len__27827	-	-4083.32293956	0.238799733913	0.631578947368	19
13956__len__12759	-	25925__len__18298	+	1774.87547495	0.268269996617	0.318181818182	22
13956__len__12759	-	4500__len__12647	-	-3880.32293956	0.00471724941174	0.6	5
13956__len__12759	-	6224__len__18329	-	-924.322939559	0.733678498518	0.357142857143	14
13956__len__12759	-	5205__len__32543	-	-1348	0.819402584577	0.347826086957	23
13956__len__12759	-	18632__len__17460	+	-3739.32293956	0.00159472136438	0.5	8
13956__len__12759	-	14761__len__14713	+	910.204182719	0.0318407684608	0.285714285714	14
13956__len__12759	-	19968__len__18269	+	-1126.96473498	0.00522895543147	0.461538461538	13
13956__len__12759	-	14743__len__9268	+	-4009.32293956	0.00664445971827	0.4	5
13956__len__12759	-	20232__len__16374	+	-4579.32293956	0.00295220930631	0.375	16
13956__len__12759	-	25100__len__12420	+	-5091.32293956	0.00543315914616	0.571428571429	28
13956__len__12759	-	12754__len__27267	-	-57	0.982423317808	0.48	25
13956__len__12759	-	1957__len__31603	+	-3402.32293956	0.00128323057564	0.4	5
13956__len__12759	-	2878__len__12997	-	179.115722394	0.00332032813112	0.5	10
13956__len__12759	-	33070__len__27995	+	-154.618776835	0.0039921156098	0.428571428571	7
13956__len__12759	-	2298__len__15297	-	-344.298464185	0.0028822870001	0.5	6
13956__len__12759	-	23523__len__8761	-	4152	0.00580085036646	0.428571428571	7
13956__len__12759	-	11184__len__31715	-	-4024.32293956	0.575746474692	0.125	8
13956__len__12759	-	3661__len__14757	+	-4443.32293956	0.00595811965687	0.352941176471	17
13956__len__12759	-	14761__len__14713	-	-1709.69660585	0.500404538871	0.222222222222	9
13956__len__12759	-	3047__len__32461	+	1215.12902625	0.590980836274	0.454545454545	22
13956__len__12759	-	7489__len__17956	-	1448.50058798	0.3744271969	0.461538461538	13
13956__len__12759	-	23505__len__18044	-	-3208.32293956	0.00248176510916	0.625	8
13956__len__12759	-	16218__len__22348	-	-3980.32293956	0.281325399601	0.266666666667	15
13956__len__12759	-	1620__len__22736	+	3911	0.00547292553366	0.4	5
13956__len__12759	-	3622__len__11708	-	288.705725126	0.00812945613208	0.363636363636	11
13956__len__12759	-	38802__len__11411	+	-4400.32293956	0.00236019659855	0.5	16
13956__len__12759	-	6216__len__43471	-	-926.310713682	0.138111878946	0.142857142857	14
13956__len__12759	-	4568__len__15386	-	275.232072361	0.526420108576	0.4	40
13956__len__12759	-	6608__len__16328	+	-1324.046581	0.156023649736	0.5	14
13956__len__12759	-	7663__len__8125	-	3009.05741671	0.00338537385905	0.5	6
13956__len__12759	-	4906__len__12493	-	2035.59842078	0.00157381141779	0.6	5
13956__len__12759	-	1954__len__21719	+	355	0.567159440764	0.451612903226	31
13956__len__12759	-	8381__len__30618	-	-3643.32293956	0.00406888398196	0.4	5
13956__len__12759	-	635__len__8602	+	-1072.91170192	0.00545245472506	0.5	6
13956__len__12759	-	4346__len__15565	+	21	0.691353539432	0.405405405405	37
13956__len__12759	-	4359__len__9887	+	314	0.651688204015	0.5	22
13956__len__12759	-	14814__len__8999	+	-88.9446486443	0.0034535936239	0.4	5
13956__len__12759	-	12512__len__10441	-	-4204.32293956	0.00253501669185	0.642857142857	14
13956__len__12759	-	9585__len__15000	-	4174	0.00376440326048	0.555555555556	9
13956__len__12759	-	5004__len__47108	+	4127	0.00544647275397	0.4	5
13956__len__12759	-	7772__len__14237	+	-1622.31296454	0.00360491693871	0.4	5
13956__len__12759	-	3049__len__13350	-	-123.198200211	0.0021096180703	0.6	5
13956__len__12759	-	5695__len__19918	+	953	0.748000825284	0.52	50
13956__len__12759	-	19666__len__8935	-	-22	0.853895182683	0.380952380952	21
