scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
1618__len__18257	-	2531__len__11980;63736__len__29630;136233__len__5101	-;-;-	154.037994456	0.755906433337	0.818181818182	11
123955__len__8615	-	93838__len__26955	+	-1564.72263904	0.00320770156089	0.5	6
4409__len__10343	+	51183__len__10605	-	-4415.63007882	0.0411589847434	0.766666666667	30
4409__len__10343	+	60640__len__10406	+	-4223.63007882	0.0147442392664	0.75	8
4409__len__10343	+	54531__len__21888	-	-2399.63007882	0.723518261663	0.111111111111	9
88732__len__11245	-	1915__len__21714	-	3814.32405246	0.00302767633732	0.5	6
78222__len__24841	+	67413__len__15418	+	-1337.31832074	0.982436514473	0.375	8
5514__len__55534	+	3431__len__44309	+	-2649.63007882	0.00221528323125	0.6	5
104853__len__43957	+	79297__len__9655;2772__len__33266	+;+	-2517.63007882	0.482492040391	0.166666666667	12
104853__len__43957	+	77735__len__14828;50565__len__14843	+;+	-1468.73171107	0.0493116606897	0.5	6
104853__len__43957	+	24560__len__8941	-	-2665.63007882	0.242958534599	0.375	8
3674__len__90813	+	1270__len__36204	-	-2685.63007882	0.807809239503	0.333333333333	6
3674__len__90813	+	136551__len__16380	+	76.0817488812	0.84205304126	0.53125	32
1351__len__59665	-	31033__len__15455;76733__len__10321	-;-	4452.35411841	0.0034269678344	0.5	8
52589__len__10560	+	178466__len__30055	+	2841.69125541	0.459611210308	0.4	5
1915__len__21714	+	113959__len__9059;80322__len__4911	+;+	-5024.63007882	0.00373982852745	0.5	8
40727__len__50279	-	32804__len__35250	-	461.165202875	0.951198718404	0.666666666667	6
89329__len__2980;64946__len__23510	-;-	33378__len__14051	+	2225.96558644	0.00389997312441	0.555555555556	9
210861__len__5584;52535__len__41001	-;-	71065__len__33521;125388__len__6963	-;-	-4814.63007882	0.00221528323125	0.6	5
210861__len__5584;52535__len__41001	-;-	3944__len__31575	-	-4304.63007882	0.00302665309376	0.571428571429	7
210861__len__5584;52535__len__41001	-;-	4147__len__38429	+	-4807.63007882	0.00262115846764	0.5	6
75706__len__24741	+	73673__len__9620	-	-2688.63007882	0.00302665309376	0.571428571429	7
106616__len__45638	-	61275__len__20045	+	-3247.63007882	0.00322550107153	0.4	5
119266__len__32987	-	3132__len__69308	-	-3452.63007882	0.509987357592	0.6	5
3423__len__35037	+	24560__len__8941	-	-2381.63007882	0.581771421463	0.6	5
3423__len__35037	+	79297__len__9655;2772__len__33266	+;+	-2520.63007882	0.823269029069	0.5	8
2936__len__19443	+	33585__len__17636	+	3745.02969336	0.00222118729489	0.6	5
32236__len__16642	+	2112__len__11125	+	-2282.63007882	0.738010737389	0.555555555556	9
94715__len__12113	-	38083__len__14213	+	-2522.63007882	0.742513225288	0.428571428571	7
94715__len__12113	-	15013__len__12450	+	-2964.63007882	0.00221528323125	0.6	5
94715__len__12113	-	95424__len__9916	-	-3029.63007882	0.59054290127	0.5	10
36149__len__54737	-	3229__len__35021	-	-5022.63007882	0.00322550107323	0.4	5
93679__len__31984	+	2434__len__97240	-	4568.07043758	0.00221496325279	0.6	5
93679__len__31984	+	28715__len__13244	-	4568.07961457	0.00221496325279	0.6	5
2772__len__33266;79297__len__9655	-;-	10102__len__75534;54086__len__6456	-;-	-2109.63007882	0.96727323184	0.5	14
2772__len__33266;79297__len__9655	-;-	52026__len__19358	-	-2630.63007882	0.73320448555	0.2	5
2772__len__33266;79297__len__9655	-;-	77735__len__14828;50565__len__14843	+;+	-3620.63007882	0.428114923706	0.5	16
2772__len__33266;79297__len__9655	-;-	1719__len__24894	+	-3684.63007882	0.00334500432386	0.4	5
2772__len__33266;79297__len__9655	-;-	2277__len__27615	+	-2066.63007882	0.310984502491	0.2	5
2772__len__33266;79297__len__9655	-;-	24560__len__8941	+	-1257	0.258025828162	0.825327510917	229
2772__len__33266;79297__len__9655	-;-	24560__len__8941	-	-4583.63007882	0.218588004277	0.736842105263	19
2772__len__33266;79297__len__9655	-;-	65597__len__36587;104740__len__21144	-;-	-2596.63007882	0.266143946698	0.6	5
2772__len__33266;79297__len__9655	-;-	3363__len__24225	+	-3280.63007882	0.847912881681	0.5	6
2772__len__33266;79297__len__9655	-;-	2294__len__8442;1894__len__42438	-;-	-2490.63007882	0.686274353357	0.333333333333	6
24560__len__8941	-	92050__len__16461	+	-4768.63007882	0.144176019605	0.484848484848	33
24560__len__8941	-	60877__len__14748	+	-1656.71727564	0.654281049906	0.428571428571	7
24560__len__8941	-	27945__len__15485	+	-2222.63007882	0.980376126344	0.428571428571	7
24560__len__8941	-	77735__len__14828;50565__len__14843	+;+	-3374.63007882	0.509164618812	0.67816091954	87
24560__len__8941	-	177773__len__13034	+	-1813.63007882	0.488765122776	0.6	10
24560__len__8941	-	1180__len__31861	+	-4953.63007882	0.0780405641288	0.4	5
50113__len__14594	+	110505__len__11601	+	-4454.63007882	0.00290531672207	0.4	5
104740__len__21144;65597__len__36587	+;+	24560__len__8941	-	-2570.63007882	0.577221920205	0.6	5
43301__len__33558	+	58705__len__12559	-	2462.02074782	0.00456110154013	0.444444444444	9
43301__len__33558	+	71289__len__13791	-	-1503.58846069	0.00221528323125	0.6	5
77196__len__9749	-	1189__len__12611	-	1217.81852403	0.852352539062	0.5	6
50306__len__8024	+	61275__len__20045	+	-3242.63007882	0.0126329427658	0.2	5
92406__len__18905	+	72000__len__13442	+	-4218.63007882	0.00221528323125	0.6	5
54086__len__6456;10102__len__75534	+;+	77735__len__14828;50565__len__14843	+;+	-1415.66907508	0.855574849638	0.333333333333	6
54086__len__6456;10102__len__75534	+;+	24560__len__8941	-	-2680.63007882	0.58225051007	0.5	6
59108__len__8827	+	15013__len__12450	+	-4688.63007882	0.00276435292642	0.428571428571	7
1509__len__31981	+	46628__len__9347	-	-4221.63007882	0.483767696791	0.333333333333	6
15117__len__22384	-	77735__len__14828;50565__len__14843	+;+	-1489.80912977	0.644170298068	0.5	6
163234__len__8787	+	3970__len__31034	+	4411.55439573	0.0026911336394	0.4	5
110505__len__11601	-	95424__len__9916	-	-4614.63007882	0.0692864602926	0.285714285714	7
3034__len__13638	-	29__len__9125	-	736.961296951	0.992381777293	0.789473684211	19
3363__len__24225	-	24560__len__8941	-	-2748.63007882	0.524631267915	0.625	8
23903__len__8968	+	39989__len__11362	-	-267.687303791	0.00443056646249	0.4	5
119402__len__11155	+	80789__len__8066	+	-3915.63007882	0.569702545389	0.428571428571	7
24560__len__8941	+	77735__len__14828;50565__len__14843	+;+	-3579.63007882	0.447222088746	0.666666666667	15
24560__len__8941	+	82503__len__8438	-	-2786.63007882	0.839915263529	0.5	6
24560__len__8941	+	79647__len__9841;140456__len__13718	-;-	-2819.63007882	0.316498724349	0.5	8
46628__len__9347	+	1463__len__48115	-	-3167.63007882	0.856836922641	0.166666666667	6
17418__len__34062	+	14297__len__21698	+	1205.50870235	0.668227981346	0.571428571429	7
172__len__16926	+	122129__len__3992;133633__len__11065	+;+	-3837.63007882	0.0129526204266	0.333333333333	6
41342__len__9014	+	1189__len__12611	-	3135.82668578	0.00223391821387	0.6	5
50113__len__14594	-	3431__len__44309	+	-3819.63007882	0.00302665309441	0.5	6
42853__len__12614	-	122129__len__3992;133633__len__11065	+;+	-2488.63007882	0.00475125320893	0.333333333333	6
42853__len__12614	-	4443__len__9489	-	-1219.58969709	0.00506132833619	0.4	5
90326__len__24263	+	5130__len__22015	+	-114	0.490780602402	0.6	10
4106__len__19023	+	93847__len__7858	+	-2838.63007882	0.00519529969015	0.4	5
4106__len__19023	+	62702__len__23001	+	-1539.26490607	0.00281669291942	0.5	6
144069__len__8243	-	31033__len__15455;76733__len__10321	-;-	4452.93235924	0.0022120982251	0.6	5
43087__len__8131	-	93700__len__12983	-	3407.41393962	0.376289193399	0.666666666667	6
141331__len__15106	+	59209__len__20153	+	461.576572409	0.911621515245	0.5	8
49915__len__15427	+	46918__len__9311	-	-4193.63007882	0.00830066360669	0.4	10
3970__len__31034	-	36236__len__35763	-	-3200.63007882	0.00302665309376	0.571428571429	7
37655__len__10126	-	65188__len__3154;3613__len__60144	+;+	-2749.63007882	0.00539001673334	0.4	5
7950__len__12493	+	5827__len__14024;20867__len__50395	+;+	-5048.63007882	0.011744698041	0.5	14
39989__len__11362	+	46628__len__9347	+	-4791.63007882	0.00514785303705	0.555555555556	9
133633__len__11065;122129__len__3992	-;-	62702__len__23001	+	-3607.63007882	0.00337698804965	0.428571428571	7
20867__len__50395;5827__len__14024	-;-	4740__len__8653	-	-4258.63007882	0.00332292484687	0.6	5
